0,1,2,3,4,5,6,7,8,9,10
39,6,26,19,1,0,38,6,2,0,0
7,22,2,31,10,0,2,2,0,0,0
9,0,73,2,0,0,23,57,6,0,0
32,15,8,42,6,0,14,3,1,0,0
5,10,0,12,18,0,0,0,0,0,0
1,1,0,2,4,0,0,0,0,0,0
26,0,42,7,0,0,48,12,2,0,0
3,0,28,0,0,0,4,71,38,0,0
1,0,4,0,0,0,1,21,26,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,3,0,0,0,1,0,1,0,0
