0,1,2,3,4,5,6,7,8,9,10
11,7,1,20,1,0,1,4,0,0,0
21,13,0,8,1,0,0,0,0,0,0
4,0,3,2,0,0,0,4,0,0,0
11,2,2,32,0,0,0,7,0,0,1
16,9,0,2,7,0,2,3,1,1,0
0,0,0,0,2,0,1,0,1,0,0
0,5,2,0,4,0,2,0,0,0,0
2,0,2,6,0,0,0,8,0,0,0
0,1,1,0,1,1,4,0,6,0,0
3,0,0,0,1,1,3,0,1,0,0
0,0,0,0,0,0,0,1,0,0,1
