0,1,2,3,4,5,6,7,8
140,28,14,13,0,2,1,0,0
26,72,0,28,0,1,1,0,0
26,2,28,1,0,0,2,0,0
4,16,1,271,0,15,4,0,0
4,0,4,0,0,0,0,0,0
2,3,0,45,0,41,12,0,0
5,0,3,19,0,22,33,0,0
0,0,1,0,0,0,2,0,0
0,2,0,3,0,0,0,0,0
