0,1,2,3,4,5,6,7,8,9
114,33,11,2,0,2,3,1,2,0
13,50,1,11,0,0,1,1,0,0
54,5,44,0,2,0,0,0,1,0
3,10,1,132,0,0,25,1,0,0
6,0,10,0,2,0,0,0,0,0
7,0,8,7,3,7,0,4,10,2
2,0,0,48,0,1,68,8,1,0
4,1,1,9,0,0,37,37,3,0
3,0,1,2,0,2,12,23,7,1
0,1,2,3,0,6,3,7,15,0
