0,1,2,3,4,5,6,7,8,9
103,38,18,1,0,0,4,3,1,0
13,48,0,14,0,0,0,2,0,0
40,6,52,0,3,0,0,4,1,0
2,11,1,127,0,0,25,6,0,0
5,1,11,0,1,0,0,0,0,0
9,0,7,6,2,7,0,2,11,4
1,0,0,45,0,0,65,17,0,0
3,2,2,9,0,3,28,38,7,0
0,1,0,0,0,2,10,24,9,5
0,1,0,3,0,7,1,7,15,3
