0,1,2,3,4,5,6,7,8
130,46,10,10,0,0,2,0,0
19,74,2,31,0,1,1,0,0
31,3,23,0,0,0,2,0,0
4,22,0,265,0,16,4,0,0
4,0,4,0,0,0,0,0,0
2,3,0,47,0,36,15,0,0
5,2,5,15,0,18,37,0,0
0,0,1,0,0,0,2,0,0
0,1,0,4,0,0,0,0,0
